Idaho, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200011,25.7,-5.9
200012,24.2,0.3
200101,23.0,1.0
200102,25.1,-1.3
200103,36.6,4.0
200104,40.1,-0.9
200105,52.6,3.3
200106,57.4,0.7
200107,65.6,0.5
200108,68.2,4.6
200109,59.4,4.7
200110,44.6,0.5
200111,36.2,4.6
200112,22.1,-1.8
200201,23.2,1.2
200202,23.9,-2.5
200203,30.1,-2.5
200204,41.5,0.5
200205,48.7,-0.6
200206,58.8,2.1
200207,69.0,3.9
200208,61.8,-1.8
200209,55.9,1.2
200210,41.0,-3.1
200211,32.8,1.2
200212,28.8,4.9
200301,31.4,9.4
200302,27.1,0.7
200303,36.3,3.7
200304,40.8,-0.2
200305,49.9,0.6
200306,59.1,2.4
200307,70.4,5.3
200308,67.7,4.1
200309,56.7,2.0
200310,48.7,4.6
200311,28.2,-3.4
200312,28.1,4.2
200401,22.8,0.8
200402,26.3,-0.1
200403,39.3,6.7
200404,44.6,3.6
200405,48.9,-0.4
200406,58.4,1.7
200407,66.3,1.2
200408,63.7,0.1
200409,53.7,-1.0
200410,44.6,0.5
200411,32.7,1.1
200412,28.5,4.6
200501,26.5,4.5
200502,28.5,2.1
200503,35.9,3.3
200504,41.7,0.7
200505,49.9,0.6
200506,54.3,-2.4
200507,66.8,1.7
200508,64.8,1.2
200509,54.1,-0.6
200510,45.5,1.4
200511,32.0,0.4
200512,23.0,-0.9
200601,27.9,5.9
200602,24.4,-2.0
200603,32.4,-0.2
200604,42.8,1.8
200605,51.8,2.5
200606,60.6,3.9
200607,70.1,5.0
200608,63.7,0.1
200609,55.1,0.4
200610,43.0,-1.1
200611,33.1,1.5
200612,25.3,1.4
200701,20.7,-1.3
200702,30.8,4.4
200703,38.9,6.3
200704,43.0,2.0
200705,52.0,2.7
200706,59.6,2.9
200707,72.0,6.9
200708,65.4,1.8
200709,54.9,0.2
200710,43.1,-1.0
200711,33.5,1.9
200712,23.4,-0.5
200801,19.9,-2.1
200802,27.6,1.2
200803,30.3,-2.3
200804,36.3,-4.7
200805,48.9,-0.4
200806,56.3,-0.4
200807,66.5,1.4
200808,64.8,1.2
200809,55.5,0.8
200810,44.5,0.4
200811,37.1,5.5
200812,22.6,-1.3
200901,25.0,3.0
200902,27.6,1.2
200903,31.4,-1.2
200904,40.7,-0.3
200905,50.8,1.5
200906,56.3,-0.4
200907,65.8,0.7
200908,63.8,0.2
200909,60.1,5.4
200910,39.5,-4.6
200911,33.0,1.4
200912,19.8,-4.1
201001,28.2,6.2
201002,28.9,2.5
201003,35.2,2.6
201004,40.0,-1.0
201005,44.1,-5.2
201006,55.5,-1.2
201007,64.2,-0.9
201008,62.8,-0.8
201009,56.4,1.7
201010,47.5,3.4
201011,30.5,-1.1
201012,26.6,2.7
201101,24.0,2.0
201102,24.3,-2.1
201103,33.4,0.8
201104,36.4,-4.6
201105,45.8,-3.5
201106,54.0,-2.7
201107,64.3,-0.8
201108,66.1,2.5
201109,59.6,4.9
201110,45.4,1.3
201111,30.5,-1.1
201112,24.8,0.9
201201,26.8,4.8
201202,28.0,1.6
201203,36.4,3.8
201204,44.4,3.4
201205,49.0,-0.3
201206,56.9,0.2
201207,68.5,3.4
201208,67.3,3.7
201209,58.4,3.7
201210,43.7,-0.4
201211,36.0,4.4
201212,25.8,1.9
201301,20.2,-1.8
201302,27.5,1.1
201303,35.1,2.5
201304,40.1,-0.9
201305,51.0,1.7
201306,59.3,2.6
201307,69.6,4.5
201308,67.6,4.0
201309,57.1,2.4
201310,42.1,-2.0
201311,33.8,2.2
201312,21.1,-2.8
201401,27.7,5.7
201402,28.0,1.6
201403,36.2,3.6
201404,41.6,0.6
201405,51.6,2.3
201406,56.7,0.0
201407,69.3,4.2
201408,63.8,0.2
201409,57.6,2.9
201410,48.5,4.4
201411,31.1,-0.5
201412,29.1,5.2
201501,28.7,6.7
201502,35.2,8.8
201503,40.8,8.2
201504,42.3,1.3
201505,51.8,2.5
201506,64.7,8.0
201507,65.1,0.0
201508,65.8,2.2
201509,57.2,2.5
201510,50.7,6.6
201511,29.9,-1.7
201512,24.3,0.4
201601,25.8,3.8
201602,31.9,5.5
201603,37.0,4.4
201604,47.0,6.0
201605,50.6,1.3
201606,61.2,4.5
201607,64.8,-0.3
201608,64.7,1.1
201609,54.6,-0.1
201610,45.7,1.6
201611,38.7,7.1
201612,19.1,-4.8
201701,18.5,-3.5
201702,29.5,3.1
201703,38.5,5.9
201704,40.3,-0.7
201705,50.6,1.3
201706,59.1,2.4
201707,70.0,4.9
201708,66.9,3.3
201709,55.7,1.0
201710,41.9,-2.2
201711,34.9,3.3
201712,25.2,1.3
201801,30.4,8.4
201802,26.2,-0.2
201803,33.7,1.1
201804,42.4,1.4
201805,54.0,4.7
201806,57.7,1.0
201807,68.4,3.3
201808,65.0,1.4
201809,56.2,1.5
201810,44.0,-0.1
201811,32.0,0.4
201812,24.3,0.4
201901,26.3,4.3
201902,23.2,-3.2
201903,32.4,-0.2
201904,42.9,1.9
201905,49.8,0.5
201906,57.2,0.5
201907,65.5,0.4
201908,66.0,2.4
201909,55.0,0.3
201910,36.6,-7.5
201911,34.3,2.7
201912,26.6,2.7
202001,27.3,5.3
202002,26.2,-0.2
202003,35.1,2.5
202004,41.6,0.6
202005,50.6,1.3
202006,56.2,-0.5
202007,64.9,-0.2
202008,67.1,3.5
202009,58.7,4.0
202010,45.4,1.3
202011,32.7,1.1
202012,26.2,2.3
202101,26.6,4.6
202102,25.3,-1.1
202103,34.8,2.2
202104,42.0,1.0
202105,49.8,0.5
202106,65.1,8.4
202107,71.8,6.7
202108,63.9,0.3
202109,57.1,2.4
202110,45.2,1.1
202111,36.6,5.0
202112,26.5,2.6
202201,23.8,1.8
202202,24.5,-1.9
202203,36.2,3.6
202204,37.0,-4.0
202205,46.1,-3.2
202206,57.1,0.4
